ville;candidat;id;liste;programme_complet;nb_propositions;site_campagne;email;type_email;twitter;source_contact;statut_contact
Aix-en-Provence;Sophie Joissains;joissains;UDI (Union de la droite et du centre);NON;11;;;;;;A RECHERCHER
Aix-en-Provence;Marc Péna;pena;Aix en Partage (PS-PCF-EELV);NON;6;;marc.pena@assemblee-nationale.fr;institutionnel;@MarcPena_;recherche web;EMAIL OK
Aix-en-Provence;Philippe Klein;klein;Horizons;OUI;15;https://www.philippe-klein.fr/;;;;philippe-klein.fr (a verifier);SITE A VERIFIER
Aix-en-Provence;Julie Boronad;boronad;Aix en commun (LFI);NON;2;;;;;;A RECHERCHER
Aix-en-Provence;Jean-Louis Geiger;geiger;RN-UDR;NON;1;;;;;;A RECHERCHER
Aix-en-Provence;Mounir Ben Ammar;ben-ammar;Aix-en-Provence ville vivante (REV);NON;0;;;;;;A RECHERCHER
Ajaccio;Stéphane Sbraggia;sbraggia;Divers droite, Forza Aiacciu;NON;6;;;;;;A RECHERCHER
Ajaccio;François Filoni;filoni;RN-UDR-Mossa Palatina, Gagner pour Ajaccio;NON;6;;;;;;A RECHERCHER
Ajaccio;Pascal Zagnoli;zagnoli;PNC (Partitu di a Nazione Corsa), Stintu Aiaccinu;NON;7;;;;;;A RECHERCHER
Ajaccio;Jean-Paul Carrolaggi;carrolaggi;Nationaliste, Aiacciu Vivu;NON;4;;;;;;A RECHERCHER
Ajaccio;Charlotte Cesari;cesari;Union de la gauche (PS-PCF);NON;6;;;;;;A RECHERCHER
Ajaccio;Philippe de la Foata;foata;Sans étiquette;NON;1;;;;;;A RECHERCHER
Amiens;Hubert de Jenlis;dejenlis;Majorité présidentielle (sortant);NON;5;;nouslesamienois@hubertdejenlis.fr;campagne;@HubertdeJenlis;recherche web;EMAIL OK
Amiens;Frédéric Fauvet;fauvet;Pour Amiens en Mieux (PS-PCF-EELV-PP);NON;9;https://www.pouramiens.fr/;;;@fredfauvet;recherche web;TWITTER OK
Amiens;Aurélien Caron;caron;Amiens Ville d'Avenir (LR);NON;5;https://amiensvilledavenir.fr/;;;@AurelienCARON;recherche web;TWITTER OK
Amiens;Benoît Mercuzot;mercuzot;Amiens en Mouvement;NON;5;https://www.amiensenmouvement.com/;;;@benoitmercuzot;recherche web;TWITTER OK
Amiens;Damien Toumi;toumi;Amiens Pour Vous (RN);NON;2;https://www.amienspourvous.fr/;;;@DamienToumi;recherche web;TWITTER OK
Amiens;Samy Olivier;olivier;Amiens en Commun (LFI-G.s);NON;5;https://amiensencommun.fr/;;;@Samy_Olivier;recherche web;TWITTER OK
Amiens;Paul-Éric Dècle;decle;Les Centristes;NON;12;https://www.paulericdecle2026.fr/;;;@PaulEricDecle;recherche web;TWITTER OK
Amiens;Julia Bellina;bellina;Amiens au Cœur (sans étiquette);OUI;29;https://amiensaucoeur.fr/;;;;;SITE A VERIFIER
Amiens;Ridha Farhat;farhat;Les Enfants de la République - Amiens pour tous;NON;2;;;;;;A RECHERCHER
Amiens;Jean-Jacques Baudry;baudry;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Angers;Christophe Béchu;bechu;Angers pour vous (Horizons/Renaissance/MoDem);OUI;17;https://www.angersbechu.fr/;;;@ChristopheBechu;recherche web;TWITTER OK
Angers;Romain Laveau;laveau;Demain Angers (gauche unie/Écologistes);OUI;27;;;;@RomainLaveau;recherche web;TWITTER OK
Angers;Arash Saeidi;saeidi;Angers populaire (LFI);NON;6;;;;@arashsaeidi;recherche web;TWITTER OK
Angers;Aurore Lahondès;lahondes;Rassemblement National;NON;2;;;;;;A RECHERCHER
Angers;Noam Leandri;leandri;Angers Coopérative (citoyen);NON;2;;;;;;A RECHERCHER
Annecy;Antoine Armand;armand;Renaissance-Horizons-MoDem-LR-UDI, Les Acteurs d'Annecy;OUI;25;https://acteursannecy.fr/programme;antoine.armand@assemblee-nationale.fr;institutionnel;@antoine_armand;recherche web;EMAIL OK
Annecy;Alexandre Mulatier-Gachet;mulatier-gachet;Union de la gauche (Écologistes/PS/Place publique/PCF), Vivre Annecy 2026;NON;0;;;;;;A RECHERCHER
Annecy;Jean-Luc Rigaut;rigaut;Divers droite, Pour Annecy 2026;NON;0;;;;;;A RECHERCHER
Annecy;Guillaume Roit-Levêque;roit-leveque;RN, Retrouvons Annecy;OUI;21;https://retrouvons-annecy.fr/le-programme/;;;@Gui_RoitLeveque;recherche web;TWITTER OK
Annecy;Vincent Drême;dreme;LFI, L'avenir en commune;NON;0;;;;;;A RECHERCHER
Annecy;Daniel-Salem Chiad;chiad;Sans étiquette, Vivre tous ensemble à Annecy;NON;0;;;;;;A RECHERCHER
Antibes;Jean Léonetti;leonetti;LR (Les Républicains);NON;0;;;;;;A RECHERCHER
Antibes;Hugo Muriel;muriel;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Antibes;Michèle Muratore;muratore;PS-PCF-Place publique;NON;0;;;;;;A RECHERCHER
Antibes;Adrien Nouet;nouet;LFI-Écologistes;NON;0;;;;;;A RECHERCHER
Antibes;Éric Ducatel;ducatel;Sans étiquette;OUI;25;https://ericducatel.wordpress.com/elections-municipales-2026-a-antibes-juan-les-pins/;;;;;SITE A VERIFIER
Antony;Jean-Yves Senant;senant;LR, Antony pour Tous;NON;0;https://antonypourtous2026.fr/;secretariat_elus@ville-antony.fr;mairie;@jysenant;recherche web;EMAIL OK
Antony;David Mauger;mauger;Gauche-écologistes, Antony Terre Citoyenne;NON;0;;;;;;A RECHERCHER
Antony;Perrine Precetti;precetti;Divers droite (dissidente), Antony à venir;NON;10;https://www.antonyavenir.fr/programme;perrine.precetti@ville-antony.fr;institutionnel;;recherche web;EMAIL OK
Argenteuil;Georges Mothron;mothron;LR (Les Républicains);NON;0;;;;@GMothron;recherche web;TWITTER OK
Argenteuil;Yassin Zeghli;zeghli;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Argenteuil;Nicolas Bougeard;bougeard;PS-EELV-Radicaux;NON;0;;;;@nicolasbougeard;recherche web;TWITTER OK
Argenteuil;Philippe Doucet;doucet;DVG / Indépendant, Argenteuil Debout;NON;0;https://www.pourvivrelyonmunicipales2026.fr/programme;;;@pdoucet;recherche web;TWITTER OK
Argenteuil;Franck Debeaud;debeaud;PCD, Ensemble rassemblés pour Argenteuil;NON;0;;;;@FranckDebeaud;recherche web;TWITTER OK
Asnières-sur-Seine;Manuel Aeschlimann;aeschlimann;LR, 100% Asnières;NON;0;;info@mairieasnieres.fr;mairie;@maeschlimann;recherche web;EMAIL OK
Asnières-sur-Seine;Clément Mathieu Dautelle;dautelle;Divers, Citoyens d'Asnières;NON;0;;;;;;A RECHERCHER
Asnières-sur-Seine;Romain Jehanin;jehanin;Divers, Changeons notre ville !;NON;0;;;;;;A RECHERCHER
Asnières-sur-Seine;Dimitri Delpech;delpech;PS (Parti Socialiste);NON;0;;;;;;A RECHERCHER
Aubervilliers;Karine Franclet;franclet;UDI;NON;1;;;;@francletkarine;recherche web;TWITTER OK
Aubervilliers;Sofienne Karroumi;karroumi;DVG, Union de la gauche (PS/Place publique/Génération.s);NON;2;;;;@KarroumiSo;recherche web;TWITTER OK
Aubervilliers;Guillaume Lescaut;lescaut;LFI (La France Insoumise);NON;3;https://www.guillaumelescaut2026.fr/;;;@GuillaumLescaut;recherche web;TWITTER OK
