=== Scrape toutes communes — Tour 2 ===
Communes : 34875
Delay : 0.3s

  [01] 391 communes... 390 OK, 1 erreurs
  [02] 797 communes... 797 OK, 0 erreurs
  [03] 317 communes... 315 OK, 2 erreurs
  [04] 198 communes... 197 OK, 1 erreurs
  [05] 162 communes... 162 OK, 0 erreurs
  [06] 163 communes... 163 OK, 0 erreurs
  [07] 335 communes... 334 OK, 1 erreurs
  [08] 447 communes... 446 OK, 1 erreurs
  [09] 325 communes... 325 OK, 0 erreurs
  [10] 431 communes... 431 OK, 0 erreurs
  [11] 433 communes... 433 OK, 0 erreurs
  [12] 285 communes... 284 OK, 1 erreurs
  [13] 119 communes... 119 OK, 0 erreurs
  [14] 526 communes... 526 OK, 0 erreurs
  [15] 250 communes... 249 OK, 1 erreurs
  [16] 359 communes... 359 OK, 0 erreurs
  [17] 462 communes... 462 OK, 0 erreurs
  [18] 286 communes... 285 OK, 1 erreurs
  [19] 277 communes... 276 OK, 1 erreurs
  [21] 698 communes... 697 OK, 1 erreurs
  [22] 344 communes... 341 OK, 3 erreurs
  [23] 255 communes... 252 OK, 3 erreurs
  [24] 503 communes... 503 OK, 0 erreurs
  [25] 563 communes... 558 OK, 5 erreurs
  [26] 362 communes... 362 OK, 0 erreurs
  [27] 585 communes... 584 OK, 1 erreurs
  [28] 363 communes... 363 OK, 0 erreurs
  [29] 277 communes... 276 OK, 1 erreurs
  [2A] 124 communes... 124 OK, 0 erreurs
  [2B] 236 communes... 236 OK, 0 erreurs
  [30] 350 communes... 349 OK, 1 erreurs
  [31] 586 communes... 586 OK, 0 erreurs
  [32] 458 communes... 458 OK, 0 erreurs
  [33] 534 communes... 534 OK, 0 erreurs
  [34] 341 communes... 341 OK, 0 erreurs
  [35] 332 communes... 331 OK, 1 erreurs
  [36] 241 communes... 240 OK, 1 erreurs
  [37] 272 communes... 271 OK, 1 erreurs
  [38] 512 communes... 510 OK, 2 erreurs
  [39] 492 communes... 490 OK, 2 erreurs
  [40] 327 communes... 327 OK, 0 erreurs
  [41] 267 communes... 267 OK, 0 erreurs
  [42] 320 communes... 316 OK, 4 erreurs
  [43] 257 communes... 256 OK, 1 erreurs
  [44] 207 communes... 207 OK, 0 erreurs
  [45] 325 communes... 325 OK, 0 erreurs
  [46] 312 communes... 312 OK, 0 erreurs
  [47] 319 communes... 319 OK, 0 erreurs
  [48] 152 communes... 151 OK, 1 erreurs
  [49] 176 communes... 176 OK, 0 erreurs
  [50] 445 communes... 444 OK, 1 erreurs
  [51] 610 communes... 610 OK, 0 erreurs
  [52] 426 communes... 422 OK, 4 erreurs
  [53] 240 communes... 239 OK, 1 erreurs
  [54] 591 communes... 590 OK, 1 erreurs
  [55] 499 communes... 492 OK, 1 erreurs
  [56] 249 communes... 248 OK, 1 erreurs
  [57] 725 communes... 724 OK, 1 erreurs
  [58] 309 communes... 308 OK, 1 erreurs
  [59] 647 communes... 647 OK, 0 erreurs
  [60] 680 communes... 679 OK, 1 erreurs
  [61] 381 communes... 381 OK, 0 erreurs
  [62] 887 communes... 886 OK, 1 erreurs
  [63] 463 communes... 461 OK, 2 erreurs
  [64] 545 communes... 545 OK, 0 erreurs
  [65] 469 communes... 466 OK, 3 erreurs
  [66] 226 communes... 226 OK, 0 erreurs
  [67] 514 communes... 513 OK, 1 erreurs
  [68] 366 communes... 365 OK, 1 erreurs
  [69] 266 communes... 266 OK, 0 erreurs
  [70] 536 communes... 531 OK, 5 erreurs
  [71] 563 communes... 562 OK, 1 erreurs
  [72] 352 communes... 350 OK, 2 erreurs
  [73] 273 communes... 273 OK, 0 erreurs
  [74] 279 communes... 279 OK, 0 erreurs
  [75] 1 communes... 1 OK, 0 erreurs
  [76] 707 communes... 707 OK, 0 erreurs
  [77] 507 communes... 506 OK, 1 erreurs
  [78] 259 communes... 259 OK, 0 erreurs
  [79] 252 communes... 252 OK, 0 erreurs
  [80] 771 communes... 769 OK, 1 erreurs
  [81] 314 communes... 314 OK, 0 erreurs
  [82] 195 communes... 195 OK, 0 erreurs
  [83] 153 communes... 153 OK, 0 erreurs
  [84] 151 communes... 151 OK, 0 erreurs
  [85] 253 communes... 253 OK, 0 erreurs
  [86] 265 communes... 265 OK, 0 erreurs
  [87] 195 communes... 195 OK, 0 erreurs
  [88] 506 communes... 506 OK, 0 erreurs
  [89] 423 communes... 423 OK, 0 erreurs
  [90] 101 communes... 101 OK, 0 erreurs
  [91] 194 communes... 194 OK, 0 erreurs
  [92] 36 communes... 36 OK, 0 erreurs
  [93] 39 communes... 39 OK, 0 erreurs
  [94] 47 communes... 47 OK, 0 erreurs
  [95] 183 communes... 183 OK, 0 erreurs
  [971] 32 communes... 32 OK, 0 erreurs
  [972] 34 communes... 34 OK, 0 erreurs
  [973] 22 communes... 22 OK, 0 erreurs
  [974] 24 communes... 24 OK, 0 erreurs
  [976] 17 communes... 17 OK, 0 erreurs

=== Résumé ===
  Communes importées : 34800
  Erreurs parsing : 68
  404 : 7
